Test Case Identifier,Step No,Step Data,Data,Expected Result,Priority,Test Summary,Description,Status,Issue Link,TestSet,TestPlan,Sprint,Story,Assignee,Componente,Label,Label,Label,Label
MMCS - 35525 - 02,4,"Seleccionar Formato de tienda
(Seleccionar Bodega Aurrera)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 02,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- Bodega Aurrera Super
- Bodega Aurrera MG",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 02,6,Seleccionar Competidor,,"Al haber seleccionado la Opción Bodega Aurrera se mostraran los competidores relacionados
Se permite la selección de competidor correctamente entre las siguientes Opciones:

- Amazon
- Coppel
- Elektra
- Liverpool
- Mercado Libre",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 02,7,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se habilita el botón Buscar
También se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 02,8,Dar clic al botón Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con éxito"" seleccionando por defecto la pestaña Sugerencia de Automatches mostrando la siguiente Información:

- Descripción: ""Aprueba la activación de los matches correctos y elimina los incorrectos."" 
- botón Descargar Resultados
- botón Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la Opción Top Venta
- Campo de Texto Buscar por Descripción o UPC
- Información de artículos con los siguientes campos:
   a) Descripción Walmart
   b) UPC Walmart
   c) Artículos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripción Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginación",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 02,9,Validar integridad de la Información,,El sistema muestra correctamente los resultados obtenidos y estos coinciden correctamente con los criterios de búsqueda previamente seleccionados,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-16-35525-03 - Sugerencia de Matches - Sam's,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,4,"Seleccionar Formato de tienda
(Seleccionar Sams)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,5,Seleccionar Competidor,,"Al haber seleccionado la Opción Sams se mostraran los competidores relacionados
Se permite la selección de competidor correctamente entre las siguientes Opciones:

- Amazon
- Bodega Aurrera
- Bodega Aurrera Despensa
- Chedraui
- City Club
- Costco
- H.E.B.
- La Comer
- Liverpool
- Soriana
- Walmart Super",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,6,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se habilita el botón Buscar
También se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,7,Dar clic al botón Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con éxito"" seleccionando por defecto la pestaña Sugerencia de Automatches mostrando la siguiente Información:

- Descripción: ""Aprueba la activación de los matches correctos y elimina los incorrectos."" 
- botón Descargar Resultados
- botón Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la Opción Top Venta
- Campo de Texto Buscar por Descripción o UPC
- Información de artículos con los siguientes campos:
   a) Descripción Walmart
   b) UPC Walmart
   c) Artículos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripción Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginación",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 03,8,Validar integridad de la Información,,El sistema muestra correctamente los resultados obtenidos y estos coinciden correctamente con los criterios de búsqueda previamente seleccionados,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-16-35525-04 - Sugerencia de Matches con Filtros - Walmart,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,6,Seleccionar Competidor,,"Al haber seleccionado la Opción Walmart se mostraran los competidores relacionados
Se permite la selección de competidor correctamente entre las siguientes Opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,7,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se habilita el botón Buscar
También se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,8,Seleccionar Tribu,,"El sistema permite la selección de Tribu correctamente.
Las Opciones mostradas deben corresponder al Competidor previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,9,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,10,Seleccionar Super Squad,,"El sistema permite la selección de Super Squad correctamente.
Las Opciones mostradas deben corresponder a la Tribu previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,11,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,12,Seleccionar Squad,,"El sistema permite la selección de Squad correctamente.
Las Opciones mostradas deben corresponder al Super Squad previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,13,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,14,Seleccionar Departamento,,"El sistema permite la selección de Departamento correctamente.
Las Opciones mostradas deben corresponder al Squad previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,15,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,16,Seleccionar Categoría,,"El sistema permite la selección de Categoría correctamente.
Las Opciones mostradas deben corresponder al Departamento previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,17,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,18,Dar clic al botón Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con éxito"" seleccionando por defecto la pestaña Sugerencia de Automatches mostrando la siguiente Información:

- Descripción: ""Aprueba la activación de los matches correctos y elimina los incorrectos."" 
- botón Descargar Resultados
- botón Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la Opción Top Venta
- Campo de Texto Buscar por Descripción o UPC
- Información de artículos con los siguientes campos:
   a) Descripción Walmart
   b) UPC Walmart
   c) Artículos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripción Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginación",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 04,19,Validar integridad de la Información,,El sistema muestra correctamente los resultados obtenidos y estos coinciden correctamente con los criterios de búsqueda previamente seleccionados,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-16-35525-05 - Sugerencia de Matches con Filtro - Bodega Aurrera,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,4,"Seleccionar Formato de tienda
(Seleccionar Bodega Aurrera)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- Bodega Aurrera Super
- Bodega Aurrera MG",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,6,Seleccionar Competidor,,"Al haber seleccionado la Opción Bodega Aurrera se mostraran los competidores relacionados
Se permite la selección de competidor correctamente entre las siguientes Opciones:

- Amazon
- Coppel
- Elektra
- Liverpool
- Mercado Libre",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,7,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se habilita el botón Buscar
También se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,8,Seleccionar Tribu,,"El sistema permite la selección de Tribu correctamente.
Las Opciones mostradas deben corresponder al Competidor previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,9,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,10,Seleccionar Super Squad,,"El sistema permite la selección de Super Squad correctamente.
Las Opciones mostradas deben corresponder a la Tribu previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,11,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,12,Seleccionar Squad,,"El sistema permite la selección de Squad correctamente.
Las Opciones mostradas deben corresponder al Super Squad previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,13,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,14,Seleccionar Departamento,,"El sistema permite la selección de Departamento correctamente.
Las Opciones mostradas deben corresponder al Squad previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,15,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,16,Seleccionar Categoría,,"El sistema permite la selección de Categoría correctamente.
Las Opciones mostradas deben corresponder al Departamento previamente seleccionado",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35525 - 05,17,Dar clic al botón Aplicar,,Se aplica correctamente la selección y el sistema permite continuar con el flujo ,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
